run_id,dataset,seed_index,target,target_duration_s,servo_corrections,rotation_commands,commanded_rotation_deg,inlier_frames,raw_frames
D1,20260820_115707_圆点标定板背面_位置1_真机_2,1,reference,1.4195566177368164,0,0,0.0,18,18
D1,20260820_115707_圆点标定板背面_位置1_真机_2,2,ry_positive,18.25320601463318,6,6,10.0,18,18
D1,20260820_115707_圆点标定板背面_位置1_真机_2,3,ry_negative,13.553544998168945,7,6,10.0,17,18
D1,20260820_115707_圆点标定板背面_位置1_真机_2,4,rx_positive,16.15243411064148,9,6,10.0,14,19
D1,20260820_115707_圆点标定板背面_位置1_真机_2,5,rx_negative,14.754168510437012,8,6,10.0,18,18
D1,20260820_115707_圆点标定板背面_位置1_真机_2,6,rx_ry_positive,20.105632066726685,11,6,10.0,24,24
D2,20260820_132928_圆点标定板背面_位置1_真机_3,1,reference,1.5225305557250977,0,0,0.0,18,18
D2,20260820_132928_圆点标定板背面_位置1_真机_3,2,ry_positive,22.303905725479126,7,6,10.0,17,18
D2,20260820_132928_圆点标定板背面_位置1_真机_3,3,ry_negative,12.153784036636353,5,6,10.0,15,18
D2,20260820_132928_圆点标定板背面_位置1_真机_3,4,rx_positive,17.75234866142273,10,6,10.0,14,19
D2,20260820_132928_圆点标定板背面_位置1_真机_3,5,rx_negative,13.152776718139648,6,6,10.0,17,18
D2,20260820_132928_圆点标定板背面_位置1_真机_3,6,rx_ry_positive,20.655662775039673,12,6,10.0,18,18
D3,20260820_133622_圆点标定板背面_位置1_真机_5,1,reference,1.3150107860565186,0,0,0.0,18,18
D3,20260820_133622_圆点标定板背面_位置1_真机_5,2,ry_positive,19.60096502304077,7,6,10.0,16,18
D3,20260820_133622_圆点标定板背面_位置1_真机_5,3,ry_negative,22.553593158721924,1,21,11.0,18,18
D3,20260820_133622_圆点标定板背面_位置1_真机_5,4,rx_positive,16.503596305847168,9,6,10.0,16,18
D3,20260820_133622_圆点标定板背面_位置1_真机_5,5,rx_negative,15.904413938522339,9,6,10.0,15,18
D3,20260820_133622_圆点标定板背面_位置1_真机_5,6,rx_ry_positive,18.756311893463135,10,6,10.0,15,18
D4,20260820_135111_圆点标定板背面_位置2_真机_1,1,reference,1.5056920051574707,0,0,0.0,14,20
D4,20260820_135111_圆点标定板背面_位置2_真机_1,2,ry_positive,21.853273153305054,10,6,10.0,17,18
D4,20260820_135111_圆点标定板背面_位置2_真机_1,3,ry_negative,15.803674221038818,9,6,10.0,18,18
D4,20260820_135111_圆点标定板背面_位置2_真机_1,4,rx_positive,30.504156827926636,10,15,10.0,18,18
D4,20260820_135111_圆点标定板背面_位置2_真机_1,5,rx_negative,16.90301513671875,10,6,10.0,14,20
D4,20260820_135111_圆点标定板背面_位置2_真机_1,6,rx_ry_positive,23.255079746246338,16,6,10.0,22,22
D5,20260820_140109_圆点标定板背面_位置2_真机_2,1,reference,1.617102861404419,0,0,0.0,16,18
D5,20260820_140109_圆点标定板背面_位置2_真机_2,2,ry_positive,21.92121911048889,9,6,10.0,14,19
D5,20260820_140109_圆点标定板背面_位置2_真机_2,3,ry_negative,12.904307126998901,5,6,10.0,17,18
D5,20260820_140109_圆点标定板背面_位置2_真机_2,4,rx_positive,17.003202199935913,9,6,10.0,17,18
D5,20260820_140109_圆点标定板背面_位置2_真机_2,5,rx_negative,13.604542016983032,6,6,10.0,14,19
D5,20260820_140109_圆点标定板背面_位置2_真机_2,6,rx_ry_positive,26.802372932434082,7,13,12.0,16,18
D6,20260820_141546_原点标定板背面_位置3_真机_1,1,reference,1.3691449165344238,0,0,0.0,18,18
D6,20260820_141546_原点标定板背面_位置3_真机_1,2,ry_positive,22.70371723175049,10,6,10.0,14,23
D6,20260820_141546_原点标定板背面_位置3_真机_1,3,ry_negative,22.552815675735474,1,21,11.0,14,21
D6,20260820_141546_原点标定板背面_位置3_真机_1,4,rx_positive,16.754415035247803,9,6,10.0,18,18
D6,20260820_141546_原点标定板背面_位置3_真机_1,5,rx_negative,15.902819633483887,9,6,10.0,18,18
D6,20260820_141546_原点标定板背面_位置3_真机_1,6,rx_ry_positive,18.702527284622192,10,6,10.0,17,18
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,1,reference,1.6678345203399658,0,0,0.0,14,22
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,2,ry_positive,23.75328516960144,8,6,10.0,18,22
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,3,ry_negative,23.303594827651978,1,21,11.0,14,23
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,4,rx_positive,16.15322709083557,9,6,10.0,15,18
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,5,rx_negative,18.2015221118927,10,6,10.0,14,19
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,6,rx_ry_positive,20.558025121688843,11,6,10.0,22,24
D8,20260820_144753_焊接书_位置1_真机_1,1,reference,1.5189881324768066,0,0,0.0,18,18
D8,20260820_144753_焊接书_位置1_真机_1,2,ry_positive,20.50510311126709,8,6,10.0,16,18
D8,20260820_144753_焊接书_位置1_真机_1,3,ry_negative,18.90288519859314,4,13,12.0,14,22
D8,20260820_144753_焊接书_位置1_真机_1,4,rx_positive,18.402467250823975,10,6,10.0,14,23
D8,20260820_144753_焊接书_位置1_真机_1,5,rx_negative,14.352442741394043,7,6,10.0,18,18
D8,20260820_144753_焊接书_位置1_真机_1,6,rx_ry_positive,26.004859924316406,7,16,12.0,18,18
D9,20260820_150032_生锈的刚板_位置1_真机_1,1,reference,1.3167695999145508,0,0,0.0,18,18
D9,20260820_150032_生锈的刚板_位置1_真机_1,2,ry_positive,19.40210223197937,6,6,10.0,14,19
D9,20260820_150032_生锈的刚板_位置1_真机_1,3,ry_negative,13.25245976448059,6,6,10.0,18,18
D9,20260820_150032_生锈的刚板_位置1_真机_1,4,rx_positive,16.003276348114014,8,6,10.0,19,24
D9,20260820_150032_生锈的刚板_位置1_真机_1,5,rx_negative,15.453355550765991,7,6,10.0,18,18
D9,20260820_150032_生锈的刚板_位置1_真机_1,6,rx_ry_positive,19.654855966567993,11,6,10.0,18,18
